"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,135,21654,82,21,1425790
2023-06-01,yandex,cpc,prof-frontend,101,57138,61,9,646451
2023-06-01,yandex,cpc,prof-python,86,33026,50,5,432404
2023-06-01,vk,cpc,freemium-frontend,132,3160,35,4,334183
2023-06-01,yandex,cpc,prof-java,64,29490,38,3,263690
2023-06-05,yandex,cpc,prof-frontend,1,62245,1,1,237990
2023-06-01,vk,cpc,prof-java,88,3115,22,2,232726
2023-06-01,yandex,cpc,prof-data-analytics,17,10086,11,2,220264
2023-06-01,yandex,cpc,base-python,37,12524,21,4,216435
2023-06-01,yandex,cpc,base-frontend,55,18061,32,1,201150
2023-06-11,yandex,cpc,prof-frontend,3,43610,1,1,167625
2023-06-24,yandex,cpc,base-python,41,12132,1,1,160920
2023-06-24,telegram,cpp,base-java,2,,1,1,151192
2023-06-01,yandex,cpc,prof-professions-brand,25,4818,11,2,150387
2023-06-01,yandex,cpc,dod-php,6,5964,3,1,150255
